com.google.android.calculator	com.android.calculator2.Calculator
com.google.android.calendar	com.android.calendar.AllInOneActivity
com.google.android.deskclock	com.android.deskclock.DeskClock
com.google.android.dialer	com.android.dialer.main.impl.MainActivity
bbc.mobile.news.ww	com.mobile.MainActivity
chipolo.net.v3	net.chipolo.app.ui.main.MainActivity
com.abc.abcnews	com.disney.bootstrap.activity.bootstrap.BootstrapActivity
com.amazon.mShop.android.shopping	com.amazon.mShop.home.HomeActivity
com.android.chrome	com.google.android.apps.chrome.IntentDispatcher
com.android.vending	com.google.android.finsky.setupui.VpaSelectionOptionalStepActivity
com.bose.bosemusic	com.bose.madrid.SplashScreenActivity
com.cbs.app	com.paramount.android.pplus.features.splash.mobile.integration.SplashActivity
com.citi.citimobile	com.citi.mobile.pt3.GlobalPhoneActivity
com.disney.disneyplus	com.bamtechmedia.dominguez.main.MainActivity
com.fitbit.FitbitMobile	com.fitbit.FirstActivity
com.google.android.apps.maps	com.google.android.maps.MapsActivity
com.google.android.apps.pixel.creativeassistant	com.google.android.apps.pixel.merlin.tiktok.app.MainActivity
com.google.android.apps.restore	com.google.android.apps.pixelmigrate.component.StubLauncherActivity
com.google.android.apps.walletnfcrel	com.google.commerce.tapandpay.android.wallet.WalletActivity
com.google.android.as	com.google.android.apps.miphone.aiai.adaptiveaudio.setupwizard.AdaptiveFeaturesSetupWizardActivity
com.google.android.as.oss	com.google.android.apps.miphone.astrea.feedback.FeedbackActivity
com.google.android.contacts	com.android.contacts.activities.PeopleActivity
com.google.android.documentsui	com.android.documentsui.LauncherActivity
com.google.android.GoogleCamera	com.android.camera.CameraLauncher
com.google.android.inputmethod.latin	com.google.android.libraries.inputmethod.launcher.LauncherActivity
com.google.android.marvin.talkback	com.google.android.accessibility.talkback.preference.GestureChangeNotificationActivity
com.google.android.play.games	com.google.android.apps.play.games.features.gamefolder.appdrawer.GameFolderAppDrawerActivity
com.google.android.youtube	com.google.android.apps.youtube.app.application.Shell_SettingsActivity
com.google.ar.lens	com.google.vr.apps.ornament.app.lens.LensLauncherActivity
com.hulu.plus	com.hulu.features.splash.SplashActivity
com.kingsoopers.mobile	com.kroger.mobile.BannerSelectionActivity
com.microsoft.amp.apps.bingnews	com.microsoft.sapphire.app.main.SapphireMainActivity
com.microsoft.office.officehubrow	com.microsoft.office.officesuite.OfficeSuiteActivity
com.morganstanley.clientmobile.prod	com.morganstanley.mscordova.shim.MSShimActivity
com.nytimes.crossword	com.nytimes.games.core.activity.MainActivity
com.omronhealthcare.omronconnect	com.omronhealthcare.foresight.view.module.splash.SplashActivity
com.podcast.podcasts	fm.castbox.ui.main.MainActivity
com.resmed.myair	com.resmed.mon.presentation.workflow.authentication.launch.LaunchActivity
com.rhmsoft.edit.pro	com.rhmsoft.edit.activity.MainActivity
com.sillens.shapeupclub	com.lifesum.android.main.MainActivity
com.socialnmobile.dictapps.notepad.color.note	com.socialnmobile.colornote.activity.Main
com.verizon.messaging.vzmsgs	com.verizon.mms.ui.activity.Provisioning
com.vrbo.android	com.expedia.bookings.activity.SearchActivity
com.vzw.hss.myverizon	com.vzw.mobilefirst.setup.views.activity.SetUpActivity
com.wbd.stream	com.wbd.fuse.appcore.FuseActivity
com.zillow.android.zillowmap	com.zillow.android.splashscreen.SplashScreenActivity
cz.hipercalc.pro	app.hipercalc.CalculatorActivity
gov.dhs.tsa.mytsa	gov.dhs.mytsa.ui.splash.SplashActivity
net.sharewire.parkmobilev2	net.easypark.android.mvp.splash.SplashActivity
nz.co.vista.android.movie.metrotheatres	com.webedia.optimusprime.ui.splash.SplashActivity
org.npr.android.news	org.npr.one.StartActivity
photo.editor.photoeditor.photoeditorpro	com.camerasideas.collagemaker.activity.DummyActivity
tool.audio.cutter.ringtonemaker	com.ijoysoft.ringtone.activity.WelcomeActivity
us.zoom.videomeetings	com.zipow.videobox.LauncherActivity
