bbc.mobile.news.ww	com.mobile.MainActivity
bitpit.launcher	.ui.HomeActivity
ch.protonmail.android	.MainActivity
chipolo.net.v3	net.chipolo.app.ui.main.MainActivity
com.Splitwise.SplitwiseMobile	.views.SplitwiseSplashScreen
com.aaa.android.discounts	.MainActivity
com.abc.abcnews	com.disney.bootstrap.activity.bootstrap.BootstrapActivity
com.adobe.lrmobile	.StorageCheckActivity
com.adobe.reader	.AdobeReader
com.alphainventor.filemanager	.activity.MainActivity
com.amazon.avod.thirdpartyclient	com.amazon.avod.client.activity.SplashScreenActivity
com.amazon.dee.app	.Launcher
com.amazon.kindle	.UpgradePage
com.amazon.mShop.android.shopping	com.amazon.mShop.home.HomeActivity
com.americanexpress.android.acctsvcs.us	.firstuse.StartupActivity
com.americanexpress.android.acctsvcs.us	com.qualtrics.digital.QualtricsNotificationManager
com.android.chrome	com.google.android.apps.chrome.IntentDispatcher
com.android.vending	com.google.android.finsky.setupui.VpaSelectionOptionalStepActivity
com.audible.application	androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity
com.azure.authenticator	.ui.LaunchActivity
com.basiletti.gino.offlinenotepad	.ui.main.DashboardActivity
com.bose.bosemusic	com.bose.madrid.SplashScreenActivity
com.britbox.us	.MainActivity
com.cbs.app	com.paramount.android.pplus.features.splash.mobile.integration.SplashActivity
com.chase.sig.android	.activity.SplashActivity
com.chess	.splash.SplashActivity
com.citi.citimobile	com.citi.mobile.pt3.GlobalPhoneActivity
com.cnn.mobile.android.phone	.features.splash.SplashActivity
com.cookunity.android.app	.ui.activity.InitActivity
com.costco.app.android	.ui.main.MainActivity
com.curiosity.curiositystream	.MainActivity
com.dashlane	.ui.activities.SplashScreenActivity
com.daugherty.nws_remastered	.MainActivity
com.delta.mobile.android	.SplashScreen
com.delta.mobile.android	com.qualtrics.digital.QualtricsNotificationManager
com.digitalpharmacist.rxpharmacy	.SplashActivity
com.discord	.main.MainDefault
com.disney.disneyplus	com.bamtechmedia.dominguez.main.MainActivity
com.dropbox.android	.activity.DropboxBrowser
com.etatransit	.activity.SplashActivity
com.etekcity.vesyncplatform	.presentation.ui.activities.LaunchActivity
com.example.composetest	.MainActivity
com.example.gemini_asset_manager	.MainActivity
com.example.gemini_example_app	.MainActivity
com.example.roomdemo	.MainActivity
com.example.textfielddemo	.MainActivity
com.expedia.bookings	.activity.SearchActivity
com.expedia.bookings	com.qualtrics.digital.QualtricsNotificationManager
com.fedex.ida.android	.views.core.FedExHOME
com.fedex.ida.android	com.qualtrics.digital.QualtricsNotificationManager
com.fitbit.FitbitMobile	com.fitbit.FirstActivity
com.geico.mobile	.android.ace.geicoapppresentation.splash.mvvm.view.AceSplashActivity
com.github.android	.main.MainActivity
com.google.android.GoogleCamera	com.android.camera.CameraLauncher
com.google.android.accessibility.soundamplifier	.ui.SoundAmplifierSettingActivity
com.google.android.accessibility.switchaccess	.LaunchActivity
com.google.android.apps.access.wifi.consumer	.app.MainActivity
com.google.android.apps.accessibility.magnifier	.home.HomeActivity
