bbc.mobile.news.ww	com.mobile.MainActivity
bitpit.launcher	bitpit.launcher.ui.HomeActivity
ch.protonmail.android	ch.protonmail.android.MainActivity
chipolo.net.v3	net.chipolo.app.ui.main.MainActivity
com.Splitwise.SplitwiseMobile	com.Splitwise.SplitwiseMobile.views.SplitwiseSplashScreen
com.aaa.android.discounts	com.aaa.android.discounts.MainActivity
com.abc.abcnews	com.abc.abcnews/com.disney.bootstrap.activity.bootstrap.BootstrapActivity
com.adobe.lrmobile	com.adobe.lrmobile.StorageCheckActivity
com.adobe.reader	com.adobe.reader.AdobeReader
com.alphainventor.filemanager	com.alphainventor.filemanager.activity.MainActivity
com.amazon.avod.thirdpartyclient	com.amazon.avod.client.activity.SplashScreenActivity
com.amazon.dee.app	com.amazon.dee.app.Launcher
com.amazon.kindle	com.amazon.kindle.UpgradePage
com.amazon.mShop.android.shopping	com.amazon.mShop.home.HomeActivity
com.americanexpress.android.acctsvcs.us	com.americanexpress.android.acctsvcs.us.firstuse.StartupActivity
com.audible.application	com.audible.application/androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity
com.azure.authenticator	com.azure.authenticator.ui.LaunchActivity
com.basiletti.gino.offlinenotepad	com.basiletti.gino.offlinenotepad.ui.main.DashboardActivity
com.bose.bosemusic	com.bose.madrid.SplashScreenActivity
com.britbox.us	com.britbox.us.MainActivity
com.cbs.app	com.paramount.android.pplus.features.splash.mobile.integration.SplashActivity
com.chase.sig.android	com.chase.sig.android.activity.SplashActivity
com.chess.splash.SplashActivit	
com.citi.mobile.pt3.GlobalPhoneActivit	
com.cnn.mobile.android.phone.features.splash.SplashActivit	
com.cookunity.android.app.ui.activity.InitActivit	
com.costco.app.android.ui.main.MainActivit	
com.curiosity.curiositystream.MainActivit	
com.dashlane.ui.activities.SplashScreenActivit	
com.daugherty.nws_remastered.MainActivit	
com.delta.mobile.android.SplashScree	
com.digitalpharmacist.rxpharmacy.SplashActivit	
com.discord.main.MainDefaul	
com.disney.disneyplus/com.bamtechmedia.dominguez.main.MainActivit	
com.dropbox.android.activity.DropboxBrowse	
com.etatransit.activity.SplashActivit	
com.etekcity.vesyncplatform.presentation.ui.activities.LaunchActivit	
com.expedia.bookings.activity.SearchActivit	
com.fedex.ida.android.views.core.FedExHOM	
com.fitbit.FirstActivit	
com.geico.mobile.android.ace.geicoapppresentation.splash.mvvm.view.AceSplashActivit	
com.github.android.main.MainActivit	
com.google.android.apps.access.wifi.consumer.app.MainActivit	
com.google.android.apps.accessibility.magnifier.home.HomeActivit	
com.google.android.apps.adm.activities.MainActivit	
com.google.android.apps.authenticator2.main.MainActivit	
com.google.android.apps.bard.shellapp.BardEntryPointActivit	
com.google.android.apps.books.app.BooksActivit	
com.google.android.apps.chromecast.app.DiscoveryActivit	
com.google.android.apps.cloudconsole.common.ExternalMainContainerActivit	
com.google.android.apps.docs.app.NewMainProxyActivit	
com.google.android.apps.docs.app.NewMainProxyActivit	
com.google.android.apps.docs.app.NewMainProxyActivit	
com.google.android.apps.dynamite.startup.StartUpActivit	
com.google.android.apps.healthdat	
com.google.android.apps.helprt	
com.google.apps.dots.android.app.activity.CurrentsStartActivit	
com.google.android.apps.subscriptions.red.LauncherActivit	
com.google.android.apps.tasks.ui.TaskListsActivit	
com.google.android.apps.translate.TranslateActivit	
